epoch,train_rmse,val_rmse
1,0.19622685611016077,0.12026819569817672
2,0.09677965748276897,0.07406998161676845
3,0.07799269975610673,0.07188139908561311
4,0.07650606007063981,0.0713440971835156
5,0.07663160213244202,0.07906978498815112
6,0.07686767508466257,0.0751283440959176
7,0.07640317337599718,0.0709951794038425
8,0.07602693982652094,0.07117435951565905
9,0.07743234716628264,0.07118645974964975
10,0.07708379701688917,0.07223565185611254
11,0.07553064681923166,0.07108584527438286
12,0.07558113447749253,0.07120515653416273
13,0.07604780981022144,0.07105722555024788
14,0.07579234147947063,0.07138008776013353
15,0.07563918155026483,0.07548743496171326
16,0.07569899097691056,0.07148842809308176
17,0.07475092400824072,0.07113523464429675
18,0.07482216319950334,0.07123760087839696
19,0.0752239945627852,0.07208375278337027
20,0.07468371544925653,0.0721035873795821
21,0.07488181651230245,0.07217331745434875
22,0.074924039726873,0.07340503173636631
23,0.07502720707836355,0.07111047730073514
24,0.07516734125771528,0.0712443661774787
25,0.07555330666859557,0.07120397089300141
26,0.07478600738572733,0.0720172084039641
27,0.07442832397857703,0.07199036148883017
28,0.07446921936504777,0.07167604856430164
29,0.0746164716623794,0.07126283495987433
30,0.07478049200642745,0.07119981350427479
